"id";"objectid";"point_lat";"point_lng";"xkey";"vrije_hoogte";"ophanging";"type";"vorm";"afmeting1";"afmeting2";"opschrift";"fabtype";"beeldvlak";"fabdatum";"subkey";"x";"y";"shape"
"5524";"13731054";"51.23346823828800";"4.41297251140340";"98994";"2850";"Verlichtingspaal";"M5";"rh";"700";"400";"";"Vlak";"Type I";"1994-01-01";"98994.B2";"153088.22380058";"213727.53373847";""
"5527";"13731055";"51.23385344799900";"4.41254109233320";"98996";"2500";"Muurarmatuur";"D1e";"ro";"700";"0";"";"Vlak";"Type I";"1978-01-01";"98996.B1";"153058.06507696";"213770.37218514";""
"5530";"13731056";"51.23385344799900";"4.41254109233320";"98996";"2500";"Muurarmatuur";"M3";"rh";"700";"400";"";"Vlak";"Type I";"1994-01-01";"98996.B2";"153058.06507696";"213770.37218514";""
"5533";"13731057";"51.23382447696100";"4.41279986402820";"98997";"2400";"Steun";"C1";"ro";"700";"0";"";"Vlak";"Type I";"1995-01-01";"98997.B1";"153076.14113466";"213767.15986622";""
"5536";"13731058";"51.23382447696100";"4.41279986402820";"98997";"2400";"Steun";"M3";"rh";"700";"400";"";"Vlak";"Type I";"1994-01-01";"98997.B2";"153076.14113466";"213767.15986622";""
"5539";"13731059";"51.23398207472000";"4.41274031859810";"98998";"2750";"Speciale steun";"C1";"ro";"700";"0";"";"Vlak";"Type I";"1993-01-01";"98998.B1";"153071.97158087";"213784.69094463";""
"5542";"13731060";"51.23398207472000";"4.41274031859810";"98998";"2750";"Speciale steun";"M3";"rh";"700";"400";"";"Vlak";"Type I";"1994-01-01";"98998.B2";"153071.97158087";"213784.69094463";""
"5545";"13731061";"51.23394384766200";"4.41132045016930";"98999";"2200";"Steun";"D1f";"ro";"700";"0";"";"Vlak";"Type I";"1950-01-01";"98999.B1";"152972.8025346";"213780.37924697";""
"5548";"13731062";"51.23394384766200";"4.41132045016930";"98999";"2200";"Steun";"M3";"rh";"700";"400";"";"Vlak";"Type I";"1993-01-01";"98999.B2";"152972.8025346";"213780.37924697";""
"5551";"13731063";"51.23456321965000";"4.40938163406090";"99000";"1500";"Verlichtingspaal";"FtsRt";"rh";"300";"200";"";"Geen";"Geen";"2003-01-01";"99000.B1";"152837.34633627";"213849.21049751";""
"5554";"13731064";"51.23456321965000";"4.40938163406090";"99000";"1500";"Verlichtingspaal";"D9a";"ro";"400";"0";"";"SB250";"Type I";"2003-01-01";"99000.B2";"152837.34633627";"213849.21049751";""
"5557";"13731065";"51.23458106200900";"4.41291208733340";"99001";"2400";"Steun";"C1";"ro";"700";"0";"";"B&W";"Type I";"1950-01-01";"99001.B1";"153083.92861095";"213851.33865293";""
"5560";"13731066";"51.23438501033600";"4.41296131842160";"99002";"2400";"Verlichtingspaal";"F4b";"rh";"600";"900";"";"SB250";"Type I";"2005-01-01";"99002.B1";"153087.38032687";"213829.52894717";""
